Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1987,10,26,1,917,915,1023,1001,PS,1451,NA,66,46,NA,22,2,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,27,2,916,915,1014,1001,PS,1451,NA,58,46,NA,13,1,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,28,3,941,925,1106,1015,PS,1451,NA,85,50,NA,51,16,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,29,4,940,925,1044,1015,PS,1451,NA,64,50,NA,29,15,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,30,5,1009,925,1105,1015,PS,1451,NA,56,50,NA,50,44,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,31,6,945,925,1040,1015,PS,1451,NA,55,50,NA,25,20,SFO,RNO,192,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,1520,1505,1624,1608,PS,1453,NA,64,63,NA,16,15,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,1508,1505,1615,1608,PS,1453,NA,67,63,NA,7,3,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,4,7,1526,1505,1625,1608,PS,1453,NA,59,63,NA,17,21,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,5,1,1504,1505,1602,1608,PS,1453,NA,58,63,NA,-6,-1,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,6,2,1505,1505,1607,1608,PS,1453,NA,62,63,NA,-1,0,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,7,3,1512,1505,1614,1608,PS,1453,NA,62,63,NA,6,7,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,8,4,1528,1505,1636,1608,PS,1453,NA,68,63,NA,28,23,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,9,5,1606,1505,1708,1608,PS,1453,NA,62,63,NA,60,61,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,11,7,1505,1505,1602,1608,PS,1453,NA,57,63,NA,-6,0,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,12,1,NA,1505,NA,1608,PS,1453,NA,NA,63,NA,NA,NA,BUR,OAK,325,NA,NA,1,NA,0,NA,NA,NA,NA,NA
1987,10,13,2,1533,1505,1640,1608,PS,1453,NA,67,63,NA,32,28,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,14,3,1528,1505,1639,1608,PS,1453,NA,71,63,NA,31,23,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,1543,1505,1645,1608,PS,1453,NA,62,63,NA,37,38,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,16,5,1521,1505,1626,1608,PS,1453,NA,65,63,NA,18,16,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,19,1,1513,1505,1617,1608,PS,1453,NA,64,63,NA,9,8,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,20,2,1551,1505,1646,1608,PS,1453,NA,55,63,NA,38,46,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,21,3,1504,1505,1620,1608,PS,1453,NA,76,63,NA,12,-1,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,22,4,1518,1505,1623,1608,PS,1453,NA,65,63,NA,15,13,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,23,5,1558,1505,1717,1608,PS,1453,NA,79,63,NA,69,53,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,25,7,1531,1505,1635,1608,PS,1453,NA,64,63,NA,27,26,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,26,1,1508,1505,1614,1608,PS,1453,NA,66,63,NA,6,3,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,27,2,1531,1505,1627,1608,PS,1453,NA,56,63,NA,19,26,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,28,3,1550,1550,1706,1657,PS,1453,NA,76,67,NA,9,0,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,29,4,1550,1550,1700,1657,PS,1453,NA,70,67,NA,3,0,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,30,5,1556,1550,1706,1657,PS,1453,NA,70,67,NA,9,6,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,1643,1635,1750,1732,PS,1454,NA,67,57,NA,18,8,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,1635,1635,1737,1732,PS,1454,NA,62,57,NA,5,0,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,3,6,1634,1635,1748,1732,PS,1454,NA,74,57,NA,16,-1,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,4,7,1646,1635,1750,1732,PS,1454,NA,64,57,NA,18,11,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,5,1,1634,1635,1736,1732,PS,1454,NA,62,57,NA,4,-1,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,6,2,1634,1635,1735,1732,PS,1454,NA,61,57,NA,3,-1,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,7,3,1634,1635,1730,1732,PS,1454,NA,56,57,NA,-2,-1,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,8,4,1654,1635,1755,1732,PS,1454,NA,61,57,NA,23,19,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,9,5,1731,1635,1831,1732,PS,1454,NA,60,57,NA,59,56,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,10,6,1635,1635,1740,1732,PS,1454,NA,65,57,NA,8,0,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,11,7,1634,1635,1740,1732,PS,1454,NA,66,57,NA,8,-1,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,12,1,NA,1635,NA,1732,PS,1454,NA,NA,57,NA,NA,NA,OAK,BUR,325,NA,NA,1,NA,0,NA,NA,NA,NA,NA
1987,10,13,2,1656,1635,1758,1732,PS,1454,NA,62,57,NA,26,21,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,14,3,1652,1635,1750,1732,PS,1454,NA,58,57,NA,18,17,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,15,4,1701,1635,1805,1732,PS,1454,NA,64,57,NA,33,26,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,16,5,1647,1635,1746,1732,PS,1454,NA,59,57,NA,14,12,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,17,6,1634,1635,1743,1732,PS,1454,NA,69,57,NA,11,-1,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,19,1,1635,1635,1735,1732,PS,1454,NA,60,57,NA,3,0,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,20,2,1705,1635,1808,1732,PS,1454,NA,63,57,NA,36,30,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,21,3,1638,1635,1742,1732,PS,1454,NA,64,57,NA,10,3,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,22,4,1640,1635,1744,1732,PS,1454,NA,64,57,NA,12,5,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,23,5,1743,1635,1845,1732,PS,1454,NA,62,57,NA,73,68,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,24,6,1634,1635,1745,1732,PS,1454,NA,71,57,NA,13,-1,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,25,7,1657,1635,1804,1732,PS,1454,NA,67,57,NA,32,22,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,26,1,1634,1635,1736,1732,PS,1454,NA,62,57,NA,4,-1,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,27,2,1644,1635,1746,1732,PS,1454,NA,62,57,NA,14,9,OAK,BUR,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,31,6,721,700,828,809,PS,1455,NA,67,69,NA,19,21,BUR,OAK,325,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,1,4,851,830,1008,937,PS,1457,NA,77,67,NA,31,21,LAX,SFO,337,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,2,5,831,830,948,937,PS,1457,NA,77,67,NA,11,1,LAX,SFO,337,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,5,1,833,830,932,937,PS,1457,NA,59,67,NA,-5,3,LAX,SFO,337,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1987,10,6,2,NA,830,NA,937,PS,1457,NA,NA,67,NA,NA,NA,LAX,SFO,337,NA,NA,1,NA,0,NA,NA,NA,NA,NA
